patent no;patent title;chemical type 1
US2007082064;NUTRITIONAL OR DIETARY SUPPLEMENT FOR THE TREATMENT OF MACULAR DEGENERATION;Lutein
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Lutein
US2006018958;COENZYME Q10 FORMULATION AND PROCESS METHODOLOGY FOR SOFT GEL CAPSULES MANUFACTURING;Lutein
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Lutein
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Lutein
US2003185960;ENCAPSULATION OF FOOD INGREDIENTS;Docosahexaenoic Acid
US5814338;DRUG DELIVERY SYSTEM;Docosahexaenoic Acid
US2005287652;DELTA-8 DESATURASE AND ITS USE IN MAKING POLYUNSATURATED FATTY ACIDS;Docosahexaenoic Acid
US2018000743;MODIFIED ALGINATE HYDROGELS FOR THERAPEUTIC AGENTS, THEIR PREPARATION AND METHODS THEREOF;Docosahexaenoic Acid
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Docosahexaenoic Acid
US2013149385;NANOFORMULATION OF VITAMIN D DERIVATIVES AND/OR VITAMIN D METABOLITES;Docosahexaenoic Acid
US3860733;MICROENCAPSULATED PRODUCT;Vitamin B6
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Vitamin B6
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Vitamin B6
US6174890;ANTI-STRESS, ANTI-IMPAIRMENT AND ANTI-AGING DRUG AND PROCESS FOR MANUFACTURING THEREOF;Vitamin B6
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Vitamin B6
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Vitamin B6
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Vitamin B6
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Vitamin B6
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Vitamin B6
US2004213857;MULTI-VITAMIN AND MINERAL SUPPLEMENT FOR PREGNANT WOMEN;Vitamin B6
US2002155103;ACTIVATED CHARCOAL BASED COMPOSITION AND METHOD FOR REDUCING HANGOVER SYMPTOMPS ASSOCIATED WITH THE CONSUMPTION OF ALCOHOL CONTAINING BEVERAGES;Vitamin B6
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Vitamin B6
US2006153910;LOWERING BLOOD GLUCOSE, UREA, CHOLESTEROL, TRIGLYCERIDES AND NORMALIZING HOMOCYSTEINE LEVELS BY DIETARY ADDITION OF SELECTED ESSENTIAL AMINO ACIDS AND THREE VITAMINS;Vitamin B6
US8613961;DERMATOLOGICAL CREAM WITH NATURAL INGREDIENTS BASE;Vitamin B6
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Vitamin B6
US5916591;SOFT GELATIN CAPSULES;Vitamin B6
US2013316017;ORAL COMPOSITION FOR THE TREATMENT OF ACNE;Vitamin B6
US4612194;Anti-rheumatic agents and their use;Vitamin B6
US2011008308;Composition for hair, skin, nails;Vitamin B6
US2006188607;ORAL COMPOSITIONS COMPRISING EDIBLE OILS AND VITAMINS AND/OR MINERALS AND METHODS FOR MAKING ORAL COMPOSITIONS;Vitamin B6
US6051587;Treatment of iatrogenic and age-related hypertension and pharmaceutical compositions useful therein;Vitamin B6
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Vitamin B6
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Vitamin B6
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;Vitamin B6
US6642259;IMMUNE STIMULATING DIETARY SUPPLEMENT AND METHOD OF USE THEREOF;Vitamin B6
US2008039385;NEUBLASTIN VARIANTS;Vitamin B6
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Vitamin B6
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;Vitamin B6
US2015296821;FERMENTED DAIRY PRODUCT COMPRISING MICROCAPSULES AND PROCESS FOR PREPARING THE SAME;Vitamin B6
US3080292;STABLE PLEASANT-TASTING VITAMIN B CONTAINING BEADLETS;Vitamin B6
US2008213246;SUPPLEMENTS FOR PAIN MANAGEMENT;Vitamin B6
US2013101569;HAIR GROWTH STIMULANT;Vitamin B6
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Vitamin B6
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Vitamin B6
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Vitamin B6
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Vitamin B6
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Vitamin B6
US2019000907;COMPOSITIONS AND METHODS FOR TREATING INSOMNIA AND OTHER SLEEP RELATED DISORDERS;Vitamin B6
US3786123;METHOD FOR STABILIZING AND PRESERVING NUTRIENTS AND PRODUCTS;Vitamin B6
US2011059171;ORAL GALENIC FORMULATION INCLUDING KETOROLAC AND B-COMPLEX VITAMINS, IN WHICH VITAMIN B6 IS IN AN OUTER LAYER SEPARATED FROM THE REST OF THE ACTIVE PRINCIPLES;Vitamin B6
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Vitamin B6
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Vitamin B6
US5520991;Cosmetic preparations for revitalizing the skin;Vitamin B6
US6726939;Composition and method for reducing blood pressure, alleviating or eliminating angina pectoris and headaches, and enhancing skin and hair;Vitamin B6
US2006051425;METHOD OF MICROENCAPSULATION;liquorice
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Vitamin D3
US5087619;VITAMIN D3 ANALOGS;Vitamin D3
US2015296821;FERMENTED DAIRY PRODUCT COMPRISING MICROCAPSULES AND PROCESS FOR PREPARING THE SAME;Vitamin D3
US2015224150;PREPARATION AND METHOD FOR THE PROPHYLAXIS AND TREATMENT OF ATYPICAL OSTEOPOROSIS;Vitamin D3
US2011008308;Composition for hair, skin, nails;Vitamin D3
US2013149385;NANOFORMULATION OF VITAMIN D DERIVATIVES AND/OR VITAMIN D METABOLITES;Vitamin D3
US2009176748;METHODS AND COMPOSITIONS FOR CONTROLLED RELEASE ORAL DOSAGE OF A VITAMIN D COMPOUND;Vitamin D3
US2015174176;PREPARATION AND METHOD FOR THE PROPHYLAXIS AND TREATMENT OF OSTEOPOROSIS AND BONE FRACTURES;Vitamin D3
US2006292217;NUTRITIONAL SUPPLEMENT AND SOFT GELATIN CAPSULE DELIVERY SYSTEM;Vitamin D3
US5973224;DIETETICAL COMBINATION PREPARATIONS;Vitamin D3
US2004213857;MULTI-VITAMIN AND MINERAL SUPPLEMENT FOR PREGNANT WOMEN;Vitamin D3
US2014348910;TOPICAL FORMULATIONS INCLUDING LIPID MICROCAPSULE DELIVERY VEHICLES AND THEIR USES;Vitamin D3
US2017056339;FORMULATION OF FAT-SOLUBLE VITAMIN;Vitamin D3
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Vitamin D3
US2017290894;COMPOSITIONS AND METHODS FOR TREATING THYROID DISEASE;Vitamin D3
US4164569;STABILIZED SOFT GELATIN CAPSULE COMPOSITION OF 1 {60 -HYDROXY-VITAMIN D;Vitamin D3
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Vitamin D3
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Vitamin D3
US2017368049;COMPOSITE CAPSULES COMPRISING RALOXIFENE, AND VITAMIN D OR ITS DERIVATIVES;Vitamin D3
US2016045520;USE IN ONE PILL TABLET CAPSULE MINOCYCLINE ACYCLOGUANOSINE ATORVASTATIN AND VITAMIN D3 IN THE TREATMENT OF RHEUMATOID ARTHRITIS;Vitamin D3
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Vitamin D3
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Vitamin D3
US2010291206;ORAL DOSAGE FORM;Vitamin D3
US2012015913;FORMULATIONS OF 14-EPI-ANALOGUES OF VITAMIN D;Vitamin D3
US2011130370;PHARMACEUTICAL COMPOSITION COMPRISING A STRONTIUM SALT, VITAMIN D AND A CYCLODEXTRIN;Vitamin D3
US2008193556;PKA BUFFERED VITAMIN C COMPOSITION AND METHOD;Vitamin D3
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Vitamin D3
US6500463;Encapsulation of sensitive components into a matrix to obtain discrete shelf-stable particles;Vitamin D3
US2002035097;METHOD OF PREVENTING AND TREATING CHEMOTHERAPY-INDUCED ALOPECIA;Vitamin D3
US2007141096;ENCAPSULATION OF SENSITIVE LIQUID COMPONENTS INTO A MATRIX TO OBTAIN DISCRETE SHELF-STABLE PARTICLES;Vitamin D3
US2017056463;COMPOSITIONS AND METHODS FOR TREATING DIABETES;Vitamin D3
US2003180719;HUMAN CELLULAR PROTEIN GASTROINTESTINAL GLUTATHIONE PEROXIDASE AS TARGET FOR MEDICAL INTERVENTION AGAINST HEPATITIS C VIRUS INFECTIONS;Vitamin D3
US8128971;METHOD AND FORMULA FOR TREATING CELIAC DISEASE;Vitamin D3
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Vitamin D3
US2018000743;MODIFIED ALGINATE HYDROGELS FOR THERAPEUTIC AGENTS, THEIR PREPARATION AND METHODS THEREOF;Vitamin D3
US5200395;Pharmaceutical composition of BUF-5 for treating anemia;Vitamin D3
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Vitamin D3
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Vitamin D3
US5532002;GELATIN PHARMACEUTICAL FORMULATIONS;Vitamin D3
US4230700;Methods for inhibiting mobilization of calcium phosphate in animal tissue;Vitamin D3
US2013101569;HAIR GROWTH STIMULANT;Vitamin D3
US2014121610;GARMENT AND METHOD USED TO PROVIDE HYDRATION AND ELASTICITY TO THE SKIN OF ABDOMEN AREA;Vitamin D3
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Folates
US2010203106;METHOD FOR ENCAPSULATING AMINO ACIDS, VITAMINS AND MEDICATIONS AND METHOD FOR INCREASING RUMEN BYPASS OF AMINO ACIDS, VITAMINS AND MEDICATIONS;Folates
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Folates
US2002004069;Discoloration-resistant vitamin composition;Folates
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Folates
US2015224035;NANOPARTICLE BASED COSMETIC COMPOSITION;Folates
US2007141096;ENCAPSULATION OF SENSITIVE LIQUID COMPONENTS INTO A MATRIX TO OBTAIN DISCRETE SHELF-STABLE PARTICLES;Folates
US2006188607;ORAL COMPOSITIONS COMPRISING EDIBLE OILS AND VITAMINS AND/OR MINERALS AND METHODS FOR MAKING ORAL COMPOSITIONS;Folates
US6726939;Composition and method for reducing blood pressure, alleviating or eliminating angina pectoris and headaches, and enhancing skin and hair;Folates
US2008254098;NEURAL TUBE BIRTH DEFECT REDUCTION WITH FOLIC ACID DELIVERY IN CATAMENIAL HYGIENE PRODUCTS;Folates
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Folates
US8128971;METHOD AND FORMULA FOR TREATING CELIAC DISEASE;Folates
US2006153910;LOWERING BLOOD GLUCOSE, UREA, CHOLESTEROL, TRIGLYCERIDES AND NORMALIZING HOMOCYSTEINE LEVELS BY DIETARY ADDITION OF SELECTED ESSENTIAL AMINO ACIDS AND THREE VITAMINS;Folates
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Folates
US2011008308;Composition for hair, skin, nails;Folates
US2017348249;CALCIFEDIOL SOFT CAPSULES;Folates
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;Folates
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Folates
US2005048164;COATED CHEWING GUM COMPRISING AN ACTIVE SUBSTANCE HAVING SYSTEMIC ACTIVITY;Folates
US2014010870;PHARMACEUTICAL FORMULATION COMPRISING INOSITOL;Folates
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Folates
US2005271754;Composition for prevention or treatment of an alcohol hangover;Folates
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Folates
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Folates
US2002155103;ACTIVATED CHARCOAL BASED COMPOSITION AND METHOD FOR REDUCING HANGOVER SYMPTOMPS ASSOCIATED WITH THE CONSUMPTION OF ALCOHOL CONTAINING BEVERAGES;Folates
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Folates
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Folates
US2014056968;LIPOSOME FORMULATION COMPRISING AN ANTI-TUMOUR ACTIVE SUBSTANCE, METHOD FOR ITS PREPARATION AND PHARMACEUTICAL COMPOSITIONS COMPRISING IT;Folates
US6086910;FOOD SUPPLEMENTS;Folates
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;Folates
US5973224;DIETETICAL COMBINATION PREPARATIONS;Folates
US2013101569;HAIR GROWTH STIMULANT;Folates
US6509035;ORAL PREPARATION OF COENZYME A USEFUL FOR LOWERING BLOOD LIPID AND A METHOD PRODUCING FOR SAME;Folates
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Folates
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Folates
US6642259;IMMUNE STIMULATING DIETARY SUPPLEMENT AND METHOD OF USE THEREOF;Folates
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Folates
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Folates
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Folates
US6500463;Encapsulation of sensitive components into a matrix to obtain discrete shelf-stable particles;Folates
US10016491;SOLUBLE GLYCOSAMINOGLYCANASES AND METHODS OF PREPARING AND USING SOLUBLE GLYCOSAMINOGLYCANASES;Folates
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Folates
US3860733;MICROENCAPSULATED PRODUCT;Folates
US3833739;VITAMIN ENRICHED POTATO FLAKES;Folates
US2016022733;NOVEL FORMULA OF IRON BASED NANOCOMPOSITES FOR RAPID AND EFFICIENT TREATMENT OF IRON DEFICIENCY ANEMIA;Folates
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Folates
US2003138520;CONFECTIONERY PRODUCTS CONTAINING ACTIVE INGREDIENTS;Folates
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Folates
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Folates
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Folates
US2010291206;ORAL DOSAGE FORM;Folates
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Folates
US2012269794;NUTRACEUTICAL COMPOSITION THAT COMPRISES EXTRACT OF SHILAJIT, FOLIC ACID, VITAMIN B12 AND VITAMIN B6 AND THE USE THEREOF FOR PREVENTING AND/OR TREATING NEURODEGENERATIVE DISEASES AND/OR THE COGNITIVE DETERIORATION ASSOCIATED WITH CEREBRAL AGEING;Folates
US5126328;PROCESS FOR CROSSLINKING GELATIN;Folates
US2004213857;MULTI-VITAMIN AND MINERAL SUPPLEMENT FOR PREGNANT WOMEN;Folates
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Folates
US2003148992;SUSTAINED RELEASE VITAMIN COMPOSITION;Folates
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Folates
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Folates
US4022883;COMPOSITION FOR ALLEVIATION OF UREMIC SYMPTOMS AND METHOD FOR ITS PREPARATION;Folates
US2009137523;COMPOSITIONS FOR EXTERNAL APPLICATION, CONTAINING ADENOSYL COBALAMIN FOR IMPROVEMENT OF SKIN DISEASES;Folates
US2519487;MULTIVITAMIN PREPARATION;Ascorbic acid
US2002127303;COMPOSITIONS COMPRISING FAT SOLUBLE SUBSTANCES IN A GLASSY CARBOHYDRATE MATRIX;Ascorbic acid
US5292534;Sustained release composition and method utilizing xanthan gum and an active ingredient;Ascorbic acid
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Ascorbic acid
US2002004069;Discoloration-resistant vitamin composition;Ascorbic acid
US2001009926;MESOZEAXANTHIN FORMULATIONS FOR TREATMENT OF RETINAL DISORDERS;Ascorbic acid
US2008233182;ORGANIC COMPOUNDS;Ascorbic acid
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Ascorbic acid
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Ascorbic acid
US6500463;Encapsulation of sensitive components into a matrix to obtain discrete shelf-stable particles;Ascorbic acid
US4182778;ENCAPSULATION OF VITAMIN AND MINERAL NUTRIENTS;Ascorbic acid
US2008014306;PRESERVING COMPOSITION AND PRODUCT FOR HARVESTING FRUITS AND VEGETABLES, AND METHOD FOR ITS USE;Ascorbic acid
US6228387;Integrated comprehensive hemorrhoid treatment compositions and regimen;Ascorbic acid
US2009209661;DELIVERY PARTICLE;Ascorbic acid
US2005158396;ANTIOXIDATIVE PREPARATIONS;Ascorbic acid
US6451351;METHOD FOR PREPARING GEL WITH CALCIUM SALTS OF ORGANIC ACIDS;Ascorbic acid
US2002095000;TREATMENT OF DRY EYE SYNDROME;Ascorbic acid
US2015044308;PHARMACEUTICAL COMPOSITION FOR TREATING URINARY INCONTINENCE AND ENURESIS;Ascorbic acid
US2011021626;ENCAPSULATION OF VITAMIN C INTO WATER SOLUBLE DENDRIMERS;Ascorbic acid
US3860733;MICROENCAPSULATED PRODUCT;Ascorbic acid
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Ascorbic acid
US2008160084;NATURAL WATER-INSOLUBLE ENCAPSULATION COMPOSITIONS AND PROCESSES FOR PREPARING SAME;Ascorbic acid
US2008248001;METHODS AND SYSTEMS FOR TREATING CELL PROLIFERATION DISORDERS;Ascorbic acid
US2014056968;LIPOSOME FORMULATION COMPRISING AN ANTI-TUMOUR ACTIVE SUBSTANCE, METHOD FOR ITS PREPARATION AND PHARMACEUTICAL COMPOSITIONS COMPRISING IT;Ascorbic acid
US2010028459;NUTRITIONAL SUPPLEMENT COMPOSITION FOR TREATMENT OF OCULAR DISEASES;Ascorbic acid
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Ascorbic acid
US2012015913;FORMULATIONS OF 14-EPI-ANALOGUES OF VITAMIN D;Ascorbic acid
US2009011012;FATTY ACID COMPOSITIONS AND METHODS OF USE;Ascorbic acid
US2015296821;FERMENTED DAIRY PRODUCT COMPRISING MICROCAPSULES AND PROCESS FOR PREPARING THE SAME;Ascorbic acid
US2008193556;PKA BUFFERED VITAMIN C COMPOSITION AND METHOD;Ascorbic acid
US2009239945;ORAL COMPOSITION WITH AN ANTIAGEING EFFECT ON THE SKIN;Ascorbic acid
US2012202694;PRODUCTION OF ENCAPSULATED NANOPARTICLES AT COMMERCIAL SCALE;Ascorbic acid
US2005048164;COATED CHEWING GUM COMPRISING AN ACTIVE SUBSTANCE HAVING SYSTEMIC ACTIVITY;Ascorbic acid
US3558323;VITAMIN-CONTAINING COMPOSITION IN BEADLET FORM;Ascorbic acid
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Ascorbic acid
US2011107524;DELIVERY PARTICLE;Ascorbic acid
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Ascorbic acid
US2005249820;NUTRITIONAL SUPPLEMENT FOR THE TREATMENT AND PREVENTION OF MACULAR DEGENERATION;Ascorbic acid
US2007082064;NUTRITIONAL OR DIETARY SUPPLEMENT FOR THE TREATMENT OF MACULAR DEGENERATION;Ascorbic acid
US2008057113;PHARMACEUTICAL ANTI-HERPETIC COMPOSITION, METHOD FOR PRODUCING A DOSAGE FORM BASED THEREON AND METHOD FOR THE USE THEREOF;Ascorbic acid
US2006188607;ORAL COMPOSITIONS COMPRISING EDIBLE OILS AND VITAMINS AND/OR MINERALS AND METHODS FOR MAKING ORAL COMPOSITIONS;Ascorbic acid
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Ascorbic acid
US2010278747;CARRIER;Ascorbic acid
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Ascorbic acid
US2012015011;COSMETIC COMPOSITION COMPRISING DOUBLE-SHELL NANO-STRUCTURE;Ascorbic acid
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Ascorbic acid
US10016491;SOLUBLE GLYCOSAMINOGLYCANASES AND METHODS OF PREPARING AND USING SOLUBLE GLYCOSAMINOGLYCANASES;Ascorbic acid
US3242051;COATING BY PHASE SEPARATION;Ascorbic acid
US8613961;DERMATOLOGICAL CREAM WITH NATURAL INGREDIENTS BASE;Ascorbic acid
US6136859;Pharmaceutical formulation for treating liver disorders;Ascorbic acid
US3138532;WATER-DISPERSIBLE GELATIN COMPOSITIONS CONTAINING FAT-SOLUBLE VITAMIN-ACTIVE MATERIAL, AND PREPARATION OF DROPLETS AND BEADLETS;Ascorbic acid
US2014010918;MICROENCAPSULATED PROBIOTIC SUBSTANCE AND PROCESS OF MANUFACTURE;Ascorbic acid
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Ascorbic acid
US2002098253;ORAL COMPOSITIONS CONTAINING LOTUS;Ascorbic acid
US2018207277;STABLE FAT-SOLUBLE ACTIVE INGREDIENT COMPOSITION, MICROCAPSULE AND PROCESS OF PREPARATION AND USE THEREOF;Ascorbic acid
US6090414;METHOD AND COMPOSITION TO REDUCE CANCER INCIDENCE;Ascorbic acid
US2007224215;Brown seaweed extracts in capsules consisting of broad-spectrum freeze dried antioxidant concentrates, Fucoidan, crystalloidals, Mangosteen, hyaluronic acid, alpha lipoic acid, green tea extract, vitamin C, and black pepper extract with delivery systems for utilization of nutrients;Ascorbic acid
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Ascorbic acid
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Ascorbic acid
US3833739;VITAMIN ENRICHED POTATO FLAKES;Ascorbic acid
US2001019724;CAROTENOID FORMULATIONS, COMPRISING A MIXTURE OF BETA-CAROTENE, LYCOPENE AND LUTEIN;Ascorbic acid
US2004116514;COMPOSITIONS FOR PREVENTING HUMAN CANCER AND METHOD OF PREVENTING HUMAN CANCER;Ascorbic acid
US10206421;STABILIZING COMPOSITION FOR BIOLOGICAL MATERIALS;Ascorbic acid
US10155919;DELIVERY PARTICLE;Ascorbic acid
US3178444;Certain (5-nitro-2-thiazolyl)-urea compounds;Ascorbic acid
US2004096419;COSMETIC PREPARATION CONTAINING VITAMIN A;Ascorbic acid
US5806681;Article for scavenging oxygen from a container;Ascorbic acid
US2008254098;NEURAL TUBE BIRTH DEFECT REDUCTION WITH FOLIC ACID DELIVERY IN CATAMENIAL HYGIENE PRODUCTS;Ascorbic acid
US2003180719;HUMAN CELLULAR PROTEIN GASTROINTESTINAL GLUTATHIONE PEROXIDASE AS TARGET FOR MEDICAL INTERVENTION AGAINST HEPATITIS C VIRUS INFECTIONS;Ascorbic acid
US2004224032;COMPOSITION COMPRISING MICRO-ENCAPSULATED IRON;Ascorbic acid
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Ascorbic acid
US4992282;STABLE NUTRITIONAL VITAMIN AND MINERAL SUPPLEMENTED BEVERAGE;Ascorbic acid
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Ascorbic acid
US2010159029;COMPOSITION AND NUTRITIONAL SUPPLEMENTS FOR IMPROVING OCULAR HEALTH AND REDUCING OCULAR INFLAMMATORY RESPONSE;Ascorbic acid
US10098849;ANTI-RADICAL AGENTS;Ascorbic acid
US2005003070;SHELF STABLE VITAMIN C IN OATMEAL PRODUCTS;Ascorbic acid
US2002025338;BIOAVAILABLE DOSAGE FORM OF ISOTRENTINOIN;Ascorbic acid
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Ascorbic acid
US4102806;METHOD OF PRODUCING MICROCAPSULES AND RESULTING PRODUCT;Ascorbic acid
US2007141096;ENCAPSULATION OF SENSITIVE LIQUID COMPONENTS INTO A MATRIX TO OBTAIN DISCRETE SHELF-STABLE PARTICLES;Ascorbic acid
